"","ORF.Max.Len","ORF.Max.Cov","Seq.lnc.Dist","Seq.pct.Dist","Seq.Dist.Ratio","Signal.Peak","SNR","Signal.Min","Signal.Q1","Signal.Q2","Signal.Max"
"SPENT005966",300,0.0835189309576837,-37.1361890447239,-33.4159920253354,1.11132983921494,7.36301884356624,0.140162914728301,3.93756217964595,4.33606408216643,4.91987309921828,23.3999472356094
"lnc-STX18-2:1",225,0.203804347826087,-50.6936826857278,-45.4181639097828,1.11615438233972,0.959945090565887,0.0590163505812793,1.09471512517139,1.2527272548529,1.47706782201359,3.43256237577343
"SPENT004346",168,0.0459518599562363,-69.5552443615735,-62.6471262541726,1.1102703111931,6.04947191763578,0.111649613399331,3.67706996981614,4.20273250885487,4.89723664969203,19.0502537123934
"lnc-SHC3-2:2",339,0.278782894736842,-32.361513255024,-28.8684756949062,1.12099833732247,0.506859323967543,0.0287518091073022,1.26038066556938,1.36592948507091,1.76709400283126,4.22287493360639
"ENST00000634735",138,0.257943925233645,-85.8202469151229,-77.2506597132035,1.11093222030381,0.300006616801296,0.0374877090729858,0.547099908632377,0.635241559129544,0.742992503982357,2.06574678676323
"SPENT002154",2931,0.771925204108507,-2.2337761804801,-1.86164589487297,1.19989316262131,33.7180460036971,0.600739296365488,3.92457208823499,4.39053505321297,5.09474713629307,33.7180460036971
"lnc-BAG1-2:9",132,0.2882096069869,-89.7507894907958,-80.4192122624573,1.11603666544114,0.87997792764357,0.126864896623546,0.408472871601509,0.481922953446434,0.554826815238587,1.01297471112815
"lnc-SNRPN-8:91",300,0.121506682867558,-36.909357090388,-32.8487050339955,1.12361680779166,1.8686425416318,0.0504462677074599,2.28516418990035,2.53220167012714,2.92718388980884,7.23555488595284
"lnc-FAM103A1-2:2",102,0.242280285035629,-118.697126344971,-107.140442532973,1.10786481312546,0.169254010126077,0.0274456688845983,0.443830416108484,0.483682528885014,0.563804736888178,1.17676308887587
"SPENT003006",756,0.586046511627907,-12.7889116313489,-11.3310626122742,1.12865951490688,0.829881665233357,0.0434972726182111,1.30187170496692,1.50962756874709,1.6663842845847,4.85234257661045
"SPENT000238",216,0.473684210526316,-53.0117395638344,-47.5676185251742,1.1144501492287,1.40096124,0.215742927142517,0.55423658231523,0.619474433453891,0.7365158937078,1.8267641966438
"lnc-KLHL32-4:3",90,0.202247191011236,-135.770294762548,-122.496231289169,1.10836303561081,0.271163569132288,0.0421435296432898,0.473606499843967,0.50788676470641,0.591266460513625,0.939805091994043
"lnc-GDAP2-3:3",144,0.25668449197861,-81.9543520889775,-73.4227044138484,1.11619903874747,0.823318457080418,0.0964140828956279,0.500502472243579,0.578270875634919,0.680410636569977,0.98280102849517
"SPENT003184",213,0.10056657223796,-53.5258490134128,-47.9373336063054,1.11657960480247,1.64160112585812,0.0552708366934503,2.66883254435041,3.04118597968614,3.59065963473742,17.2444886943724
"SPENT004827",261,0.153982300884956,-43.2631678118658,-38.6042185583517,1.12068497763973,1.61288238869317,0.0641087083492088,1.79291098153073,2.04160605221685,2.54898616356054,8.13686612602667
"lnc-ALKBH2-6:1",231,0.9625,-49.40650552808,-44.4054223004202,1.11262325564264,0.17510161,0.0508107285004931,0.269027723740536,0.307932204926693,0.350030757430424,0.855617195056315
"CDKN2B-AS1:31",156,0.230088495575221,-75.0094544152494,-67.3405440107097,1.11388251338332,0.715202346917129,0.0709933724992977,0.706187040087829,0.773893754058046,0.840220103021948,2.05529481285875
"LINC01378:4",51,0.118881118881119,-250.238106982628,-225.886683646034,1.1078037135414,0.232052394612428,0.0361082038426336,0.409274870075496,0.47634758972738,0.517798610366903,1.17178566257753
"SPENT004534",303,0.0292810204870506,-36.7325536102513,-32.6694234901124,1.12437103830034,20.6051111619292,0.131739732684099,9.3098452474493,10.4915480222371,12.1379065515175,41.0016709202687
"SPENT001493",324,0.0669283205949184,-34.116597565325,-30.4025678664211,1.12216171065622,14.5187282290617,0.205231649190549,5.41207302349243,6.14575649246274,7.09674015989512,52.1636859766005
"SPENT003830",153,0.0631970260223048,-76.6188844713224,-68.8141336865058,1.11341784553116,2.57432850999995,0.0701676848751371,2.2467610215154,2.51734148418534,3.04663025245111,6.1863394601628
"lnc-FBXL14-2:2",123,0.41,-97.1442069376222,-87.3957633630015,1.11154366298204,0.281490381448312,0.0651870384824747,0.352175972269086,0.384415724766804,0.417287079170593,1.03052646980666
"SPENT001877",231,0.158544955387783,-49.2034442757171,-44.2388109574371,1.11222348003559,1.51236503002449,0.0716222946374084,1.59590323631073,1.81962794350859,2.14897796882059,5.02034671048419
"SPENT002168",168,0.311688311688312,-69.1487047946453,-62.3933109517432,1.10827112297546,0.398017383892785,0.0507015636961802,0.559172113430391,0.6270244643734,0.784964281159435,2.71445049264329
"lnc-CSMD2-3:1",186,0.801724137931034,-62.1499909208971,-55.7444988679095,1.1149080569935,0.131310949276669,0.0393835509808415,0.279679979179307,0.30792383419668,0.340697648689186,0.921919169231775
"lnc-TMEM65-1:2",204,0.508728179551122,-56.3249579597177,-50.5716151423095,1.11376624616829,0.231967154716604,0.0412783208983507,0.562758086100409,0.639072836386444,0.703385703302569,1.20734439144357
"lnc-FPGT-8:1",99,0.177737881508079,-122.784757272869,-110.464056303823,1.11153583691658,0.178263896782686,0.0204053399296709,0.376285104008271,0.433019719267442,0.518602846604495,1.15239497547423
